
real	0m40.240s
user	0m38.789s
sys	0m0.290s

real	0m39.896s
user	0m39.571s
sys	0m0.310s

real	0m39.168s
user	0m38.981s
sys	0m0.180s

real	0m38.882s
user	0m38.712s
sys	0m0.170s

real	0m41.573s
user	0m41.275s
sys	0m0.297s

real	0m39.443s
user	0m39.128s
sys	0m0.300s

real	0m39.817s
user	0m39.554s
sys	0m0.260s

real	0m41.734s
user	0m41.339s
sys	0m0.390s

real	0m41.399s
user	0m40.973s
sys	0m0.410s

real	0m38.945s
user	0m38.492s
sys	0m0.450s

real	0m40.006s
user	0m39.638s
sys	0m0.360s

real	0m40.338s
user	0m40.012s
sys	0m0.308s
